chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mood,timestamp
0.266818,0.247195,10.395607,-3.292094,1.838611,33.511322,0.08514,55.452289,Happy,2026-04-12T01:57:13.588323
0.250853,0.247647,47.555924,5.893574,8.018551,22.630385,0.082243,37.531036,Angry,2026-04-12T01:57:41.588323
0.241841,0.250557,30.654227,-9.685977,3.253314,18.790102,0.041004,16.305134,Energetic,2026-04-12T01:58:06.588323
0.270163,0.277531,43.153794,6.844101,4.055156,11.593135,0.003004,-1.301551,Sad,2026-04-12T01:58:28.588323
0.258349,0.244218,13.247981,16.865846,4.713233,23.434249,0.063454,36.8149,Happy,2026-04-12T01:58:46.588323
0.255771,0.264122,37.627835,7.536346,9.388472,25.563508,0.146708,37.546794,Angry,2026-04-12T01:59:01.588323
0.275351,0.251555,14.950425,-12.993304,-6.337812,42.196806,0.025439,50.336628,Energetic,2026-04-12T01:59:26.588323
0.312094,0.22479,29.220151,20.414423,5.84308,31.508967,0.049166,27.714438,Sad,2026-04-12T01:59:37.588323
0.235793,0.246329,22.001549,-5.84844,13.806528,18.088873,0.133042,34.399364,Happy,2026-04-12T01:59:54.588323
0.246286,0.249447,47.498973,4.263864,10.134385,21.031403,0.118793,40.407368,Angry,2026-04-12T02:00:07.588323
0.24693,0.238271,25.665367,8.478823,8.022388,24.336917,0.032371,37.933199,Energetic,2026-04-12T02:00:30.588323
0.346348,0.238477,7.4617,15.641729,0.0586,1.137715,-0.027706,13.858061,Sad,2026-04-12T02:00:42.588323
0.256222,0.255162,41.081493,13.818922,-3.018758,37.393489,0.084611,71.790938,Happy,2026-04-12T02:00:54.588323
0.246837,0.246038,45.853448,-3.466439,8.011265,32.750332,0.071563,54.428421,Angry,2026-04-12T02:01:20.588323
0.260611,0.251462,28.309259,7.565779,4.954236,26.991228,0.021709,35.618511,Energetic,2026-04-12T02:01:48.588323
0.222044,0.286118,14.97259,22.426397,8.715082,21.208912,0.05211,7.739154,Sad,2026-04-12T02:02:00.588323
0.239414,0.247272,-2.316181,6.83879,7.560256,29.011535,0.104329,63.543711,Happy,2026-04-12T02:02:25.588323
0.253381,0.235819,28.584146,5.855603,7.45457,12.477672,0.022249,43.276777,Angry,2026-04-12T02:02:47.588323
0.241222,0.24349,16.210815,13.292807,-11.701375,29.285693,0.034757,44.619683,Energetic,2026-04-12T02:03:05.588323
0.251307,0.243042,39.135973,27.150254,-4.557754,22.581723,0.087932,-18.688935,Sad,2026-04-12T02:03:28.588323
0.238158,0.248535,-18.430148,11.879586,-2.784307,55.058064,0.073231,85.974963,Happy,2026-04-12T02:03:49.588323
0.252002,0.247231,43.557488,-3.965736,5.493094,34.383817,0.091058,13.000658,Angry,2026-04-12T02:04:18.588323
0.243434,0.260838,45.244855,9.954631,3.095746,29.151728,0.035048,57.460117,Energetic,2026-04-12T02:04:33.588323
0.265809,0.247819,6.706244,32.237605,3.652924,11.743844,0.020409,-1.481553,Sad,2026-04-12T02:04:56.588323
0.244202,0.23636,16.277741,5.200562,1.615506,25.048642,0.058238,61.562739,Happy,2026-04-12T02:05:20.588323
0.255382,0.248811,22.959378,-6.726875,12.644301,47.842809,0.03882,-8.001947,Angry,2026-04-12T02:05:33.588323
0.263385,0.247058,12.335741,8.746744,-6.398877,47.303386,0.050292,26.744638,Energetic,2026-04-12T02:05:48.588323
0.261193,0.244602,41.517667,11.14222,12.013409,10.803235,0.056455,3.153493,Sad,2026-04-12T02:06:18.588323
0.230064,0.245403,20.771646,3.646245,9.003795,18.574006,0.101108,39.096123,Happy,2026-04-12T02:06:45.588323
0.254146,0.248867,52.952513,-5.435086,9.001275,39.201753,0.038669,39.083264,Angry,2026-04-12T02:06:57.588323
0.263151,0.235175,17.638162,1.724265,9.724443,23.438846,0.038454,21.731131,Energetic,2026-04-12T02:07:25.588323
0.223997,0.246205,34.507937,10.167016,0.714726,14.919209,0.05736,14.352733,Sad,2026-04-12T02:07:47.588323
0.223254,0.2505,55.16256,0.173134,-0.475041,32.736666,0.019589,46.297309,Happy,2026-04-12T02:08:08.588323
0.257205,0.245069,49.418198,-16.651129,10.455065,33.510925,0.001767,31.545,Angry,2026-04-12T02:08:18.588323
0.260015,0.226357,16.218492,-5.41649,-3.723661,32.819095,0.038407,38.827288,Energetic,2026-04-12T02:08:42.588323
0.223104,0.21924,48.006133,10.461643,1.952532,13.460214,0.102546,64.043103,Sad,2026-04-12T02:09:02.588323
0.23264,0.256738,9.290295,6.172657,9.943951,30.354216,-0.041305,52.098494,Happy,2026-04-12T02:09:30.588323
0.25673,0.251097,6.854067,-6.405892,7.31166,31.172573,0.096449,46.426899,Angry,2026-04-12T02:09:49.588323
0.278989,0.247909,38.736396,3.530411,-6.088502,36.444912,0.038328,25.376412,Energetic,2026-04-12T02:10:05.588323
0.221718,0.279023,19.371265,17.089911,11.554934,27.621057,0.040275,29.96421,Sad,2026-04-12T02:10:31.588323
0.259924,0.238462,42.967666,-29.326685,2.596732,33.381848,0.031954,49.64023,Happy,2026-04-12T02:10:57.588323
0.245766,0.242562,23.591331,11.247613,6.833767,30.768541,0.022221,54.677595,Angry,2026-04-12T02:11:20.588323
0.240834,0.25076,24.928281,6.067225,11.991883,14.246594,0.076366,35.592191,Energetic,2026-04-12T02:11:50.588323
0.246407,0.282117,26.02397,5.659859,0.698512,19.628284,0.047064,21.647288,Sad,2026-04-12T02:12:13.588323
0.251736,0.24494,17.635051,1.941309,6.412648,20.954844,0.01879,75.747754,Happy,2026-04-12T02:12:43.588323
0.251113,0.261011,26.864183,-7.070014,9.338273,31.797001,0.104119,24.621929,Angry,2026-04-12T02:12:59.588323
0.223273,0.244516,16.431131,10.312786,10.075873,13.175708,0.033165,45.731807,Energetic,2026-04-12T02:13:24.588323
0.28489,0.280666,52.299557,9.393716,-0.364791,17.995553,0.058093,44.619594,Sad,2026-04-12T02:13:47.588323
